id;category;difficulty;question;answer1;answer2;answer3;answer4;correctAnswer;explanation;media
Programmierung-001;Programmierung;medium;Was ist ein Syntaxfehler in einem Programm?;Ein Fehler in der Schreibweise oder Struktur des Quellcodes;Ein zu langsamer Prozessor;Eine falsche IP-Adresse;Ein defektes Netzteil;0;Ein Syntaxfehler entsteht, wenn der Quellcode nicht den grammatikalischen Regeln der Programmiersprache entspricht.;
Programmierung-002;Programmierung;medium;Welche Aufgabe hat ein Kommentar im Quellcode hauptsächlich?;Er erklärt oder dokumentiert Code für Menschen, ohne normalerweise ausgeführt zu werden;Er erhöht automatisch die Programmgeschwindigkeit;Er ersetzt eine Variable;Er kompiliert das Programm;0;Kommentare dienen der Dokumentation und Lesbarkeit des Codes und werden normalerweise nicht als Programmlogik ausgeführt.;
Programmierung-003;Programmierung;medium;Was beschreibt ein Algorithmus am besten?;Eine eindeutige Folge von Schritten zur Lösung eines Problems;Eine Hardwarekomponente zur Datenspeicherung;Eine Art Netzwerkprotokoll;Eine grafische Benutzeroberfläche;0;Ein Algorithmus ist eine klar definierte Abfolge von Schritten, mit der eine Aufgabe oder ein Problem gelöst werden kann.;
Programmierung-004;Programmierung;medium;Welche Aufgabe hat eine Variable in einem Programm?;Sie speichert einen Wert, der im Programm verwendet werden kann;Sie kompiliert automatisch den gesamten Quellcode;Sie ersetzt eine Funktion;Sie stellt eine Netzwerkverbindung her;0;Eine Variable speichert einen Wert, auf den das Programm später zugreifen und den es gegebenenfalls verändern kann.;
Programmierung-005;Programmierung;medium;Welche Anweisung wird typischerweise verwendet, um eine Bedingung zu prüfen und abhängig davon Code auszuführen?;if;return;import;class;0;Mit einer if-Anweisung kann geprüft werden, ob eine Bedingung erfüllt ist, und entsprechend unterschiedlicher Code ausgeführt werden.;
Programmierung-006;Programmierung;medium;Wozu wird eine Schleife verwendet?;Um einen Programmabschnitt mehrfach auszuführen;Um eine Datei dauerhaft zu verschlüsseln;Um eine Variable automatisch zu löschen;Um einen Webserver zu installieren;0;Schleifen wie for oder while führen einen Codeblock wiederholt aus, solange die jeweilige Bedingung dies vorsieht.;
Programmierung-007;Programmierung;medium;Welche Aufgabe hat eine Funktion hauptsächlich?;Sie fasst wiederverwendbare Programmlogik unter einem Namen zusammen;Sie speichert ausschließlich Bilder;Sie ersetzt automatisch alle Variablen;Sie dient nur zur Ausgabe von Fehlermeldungen;0;Eine Funktion kapselt Programmlogik und kann mehrfach aufgerufen werden. Sie kann außerdem Parameter empfangen und Werte zurückgeben.;
Programmierung-008;Programmierung;medium;Was ist ein Array?;Eine geordnete Sammlung mehrerer Werte;Eine einzelne boolesche Variable;Eine Netzwerkadresse;Eine Art Betriebssystem;0;Ein Array speichert mehrere Werte in einer geordneten Struktur, auf deren Elemente typischerweise über Indizes zugegriffen werden kann.;
Programmierung-009;Programmierung;medium;Welchen Wert kann eine boolesche Variable typischerweise annehmen?;Nur true oder false;Nur ganze Zahlen;Nur Zeichenketten;Beliebige Dateien;0;Der Datentyp Boolean repräsentiert zwei Wahrheitswerte: true und false.;
Programmierung-010;Programmierung;medium;Was bewirkt return innerhalb einer Funktion?;Es beendet die Funktion und kann einen Wert an den Aufrufer zurückgeben;Es startet das gesamte Programm neu;Es erzeugt automatisch eine Schleife;Es löscht die Funktion aus dem Speicher;0;return beendet die aktuelle Funktionsausführung und kann dem aufrufenden Code einen Ergebniswert übergeben.;
Programmierung-011;Programmierung;medium;Welche Schreibweise erzeugt in JavaScript eine Konstante namens score mit dem Wert 10?;"const score = 10;";"score == 10;";"function score = 10;";"array score = 10;";0;Mit const wird eine Variable deklariert, deren Bindung anschließend nicht neu zugewiesen werden kann.;
Programmierung-012;Programmierung;medium;Was liefert der Ausdruck 5 > 3 in JavaScript?;true;false;5;3;0;Da 5 größer als 3 ist, ergibt der Vergleich den booleschen Wert true.;
Programmierung-013;Programmierung;medium;Welcher Index bezeichnet normalerweise das erste Element eines JavaScript-Arrays?;0;1;-1;10;0;JavaScript-Arrays sind nullbasiert. Das erste Element befindet sich daher am Index 0.;
Programmierung-014;Programmierung;hard;"Gegeben ist der Code: let value = 5; if (value > 3) { value = value * 2; } Welchen Wert besitzt value anschließend?";5;8;10;25;2;Da 5 größer als 3 ist, wird der Code im if-Block ausgeführt. 5 × 2 ergibt 10.;
Programmierung-015;Programmierung;hard;"Eine Schleife lautet: for (let i = 0; i < 4; i++) { console.log(i); } Wie oft wird console.log ausgeführt?";3-mal;4-mal;5-mal;Unendlich oft;1;Die Schleife läuft mit i = 0, 1, 2 und 3. Sobald i den Wert 4 erreicht, ist die Bedingung i < 4 nicht mehr erfüllt.;
Programmierung-016;Programmierung;hard;"Eine Funktion ist definiert als function add(a, b) { return a + b; }. Welches Ergebnis liefert add(4, 7)?";3;11;28;47;1;Die Parameter a und b erhalten die Werte 4 und 7. Die Funktion gibt deren Summe 11 zurück.;
Programmierung-017;Programmierung;hard;"Ein Array lautet const values = [10, 20, 30, 40];. Welchen Wert liefert values[2]?";10;20;30;40;2;Arrays beginnen in JavaScript beim Index 0. Die Indizes sind daher 0→10, 1→20, 2→30 und 3→40.;
Programmierung-018;Programmierung;hard;Welche Aussage beschreibt den Unterschied zwischen == und === in JavaScript am besten?;Beide Operatoren sind immer vollständig identisch;=== vergleicht Wert und Typ ohne die Typumwandlung des ==-Vergleichs;== darf nur für Zahlen verwendet werden;=== weist einer Variablen einen neuen Wert zu;1;Der strikte Gleichheitsoperator === vergleicht Wert und Datentyp ohne die implizite Typumwandlung, die bei == auftreten kann.;
