id;category;topic;difficulty;question;answer1;answer2;answer3;answer4;correctAnswer;explanation;media
pruefungssprache-001;Prüfungssprache;Aufgabenverben;medium;Was bedeutet die Aufgabenanweisung „nennen“?;Etwas kurz aufzählen, ohne es ausführlich zu erklären;Etwas mathematisch berechnen;Eine Entscheidung ausführlich begründen;Zwei Dinge miteinander vergleichen;0;„Nennen“ bedeutet normalerweise, Begriffe oder Punkte kurz anzugeben.;
pruefungssprache-002;Prüfungssprache;Aufgabenverben;medium;Was bedeutet „beschreiben“?;Einen Sachverhalt in eigenen Worten darstellen;Nur ein Stichwort nennen;Eine Rechnung durchführen;Nur eine Meinung äußern;0;„Beschreiben“ bedeutet, einen Sachverhalt verständlich darzustellen.;
pruefungssprache-003;Prüfungssprache;Aufgabenverben;medium;Was bedeutet „erläutern“?;Etwas erklären und Zusammenhänge verständlich machen;Nur einen Begriff nennen;Eine Zahl schätzen;Etwas auswendig abschreiben;0;„Erläutern“ verlangt normalerweise mehr als nur eine kurze Nennung.;
pruefungssprache-004;Prüfungssprache;Aufgabenverben;medium;Was bedeutet „begründen“?;Eine Aussage mit nachvollziehbaren Argumenten erklären;Nur das Ergebnis nennen;Nur eine Formel angeben;Ein Beispiel abschreiben;0;Bei „begründen“ soll erklärt werden, warum eine Aussage oder Entscheidung sinnvoll ist.;
pruefungssprache-005;Prüfungssprache;Aufgabenverben;medium;Was bedeutet „berechnen“?;Einen Wert mit einer Rechnung ermitteln;Etwas nur beschreiben;Mehrere Begriffe nennen;Eine Meinung formulieren;0;„Berechnen“ bedeutet, einen Wert mathematisch zu bestimmen.;
pruefungssprache-006;Prüfungssprache;Aufgabenverben;medium;Was bedeutet „ermitteln“?;Einen Wert oder Sachverhalt feststellen beziehungsweise herausfinden;Nur einen Text lesen;Etwas ignorieren;Eine Meinung ohne Grundlage geben;0;„Ermitteln“ kann je nach Aufgabe durch Berechnung, Vergleich oder Analyse erfolgen.;
pruefungssprache-007;Prüfungssprache;Aufgabenverben;medium;Was bedeutet „vergleichen“?;Gemeinsamkeiten und Unterschiede gegenüberstellen;Nur den größeren Wert nennen;Nur eine Definition geben;Eine Rechnung ohne Ergebnis durchführen;0;Beim Vergleichen werden mindestens zwei Dinge gegenübergestellt.;
pruefungssprache-008;Prüfungssprache;Aufgabenverben;medium;Was bedeutet „beurteilen“?;Einen Sachverhalt anhand von Kriterien bewerten;Nur einen Begriff nennen;Nur Zahlen abschreiben;Etwas zeichnen;0;„Beurteilen“ verlangt eine Bewertung auf Basis nachvollziehbarer Kriterien.;
pruefungssprache-009;Prüfungssprache;Aufgabenverben;medium;Was bedeutet „bewerten“?;Einen Sachverhalt anhand eines Maßstabs oder von Kriterien einschätzen;Nur beschreiben, was zu sehen ist;Eine Zahl berechnen;Einen Begriff übersetzen;0;„Bewerten“ geht über eine reine Beschreibung hinaus und verlangt eine Einschätzung.;
pruefungssprache-010;Prüfungssprache;Aufgabenverben;medium;Was bedeutet „zuordnen“?;Elemente der passenden Kategorie oder Aussage zuweisen;Alle Werte addieren;Nur den ersten Begriff erklären;Etwas neu berechnen;0;„Zuordnen“ bedeutet, etwas der passenden Gruppe, Funktion oder Aussage zuzuweisen.;
pruefungssprache-011;Prüfungssprache;Aufgabenverben;medium;Was bedeutet „ableiten“?;Aus vorhandenen Informationen eine Folgerung entwickeln;Nur eine Formel abschreiben;Etwas auswendig nennen;Eine Grafik zeichnen;0;„Ableiten“ bedeutet, aus gegebenen Informationen logisch zu einer Schlussfolgerung zu kommen.;
pruefungssprache-012;Prüfungssprache;Aufgabenverben;medium;Was bedeutet „kennzeichnen“?;Etwas eindeutig markieren oder durch ein Merkmal kenntlich machen;Etwas ausführlich begründen;Eine Zahl berechnen;Eine Alternative bewerten;0;„Kennzeichnen“ bedeutet, etwas erkennbar zu markieren oder charakteristisch zu benennen.;
pruefungssprache-013;Prüfungssprache;Aufgabenverben;medium;Was bedeutet „darstellen“?;Einen Sachverhalt strukturiert wiedergeben;Nur einen Wert berechnen;Etwas nur beurteilen;Eine falsche Antwort korrigieren;0;„Darstellen“ bedeutet, Informationen geordnet und verständlich wiederzugeben.;
pruefungssprache-014;Prüfungssprache;Aufgabenverben;medium;Was bedeutet „erklären“?;Einen Sachverhalt so darstellen, dass Ursachen oder Zusammenhänge verständlich werden;Nur einen Begriff nennen;Nur ein Ergebnis angeben;Etwas zufällig auswählen;0;Beim Erklären sollen Zusammenhänge verständlich gemacht werden.;
pruefungssprache-015;Prüfungssprache;Aufgabenverben;medium;Was bedeutet „begrenzen“?;Eine Ober- oder Untergrenze festlegen;Etwas verdoppeln;Etwas vergleichen;Etwas automatisch löschen;0;„Begrenzen“ bedeutet, einen Wert oder Bereich einzuschränken.;
pruefungssprache-016;Prüfungssprache;Prüfungsformulierungen;medium;Was bedeutet „Nennen Sie zwei Vorteile“?;Zwei Vorteile kurz angeben;Zwei Vorteile ausführlich berechnen;Zwei Nachteile erklären;Eine Entscheidung begründen;0;Bei „nennen“ reicht normalerweise eine knappe Angabe der geforderten Punkte.;
pruefungssprache-017;Prüfungssprache;Prüfungsformulierungen;medium;Was bedeutet „Begründen Sie Ihre Antwort“?;Erklären, warum die Antwort richtig oder sinnvoll ist;Nur Ja oder Nein schreiben;Nur einen Wert nennen;Die Aufgabe wiederholen;0;Eine Begründung braucht nachvollziehbare Argumente.;
