id;category;topic;difficulty;question;answer1;answer2;answer3;answer4;correctAnswer;explanation;media
rechnungen-001;Rechnungen;Prozentrechnung;medium;Ein Artikel kostet 200 €. Der Preis wird um 10 % erhöht. Wie hoch ist der neue Preis?;210 €;220 €;190 €;180 €;1;10 % von 200 € sind 20 €. Der neue Preis beträgt deshalb 220 €.;
rechnungen-002;Rechnungen;Rabatt;medium;Ein Monitor kostet 300 €. Der Kunde erhält 20 % Rabatt. Wie viel muss er bezahlen?;240 €;260 €;280 €;220 €;0;20 % von 300 € sind 60 €. Nach Abzug des Rabatts bleiben 240 €.;
rechnungen-003;Rechnungen;Prozentrechnung;medium;Ein Preis steigt von 100 € auf 125 €. Um wie viel Prozent ist der Preis gestiegen?;20 %;25 %;15 %;30 %;1;Die Erhöhung beträgt 25 € bezogen auf 100 €. Das entspricht 25 %.;
rechnungen-004;Rechnungen;Dreisatz;medium;5 Kabel kosten zusammen 40 €. Wie viel kosten 8 Kabel bei gleichem Stückpreis?;56 €;60 €;64 €;72 €;2;Ein Kabel kostet 8 €. Acht Kabel kosten daher 64 €.;
rechnungen-005;Rechnungen;Netto-Brutto;medium;Ein Produkt kostet netto 100 €. Die Mehrwertsteuer beträgt 19 %. Wie hoch ist der Bruttopreis?;109 €;119 €;121 €;129 €;1;19 % von 100 € sind 19 €. Netto plus Mehrwertsteuer ergibt 119 € brutto.;
rechnungen-006;Rechnungen;Rabatt;medium;Ein Kunde erhält 15 % Rabatt auf einen Preis von 400 €. Wie hoch ist der Rabattbetrag?;45 €;50 €;60 €;70 €;2;15 % von 400 € sind 60 €. Gefragt ist nur der Rabattbetrag, nicht der Endpreis.;
rechnungen-007;Rechnungen;Dreisatz;medium;3 Mitarbeiter benötigen für eine Aufgabe 12 Stunden. Wie viele Arbeitsstunden sind das insgesamt?;4 Stunden;12 Stunden;24 Stunden;36 Stunden;3;3 Mitarbeiter mal 12 Stunden ergeben insgesamt 36 Arbeitsstunden.;
rechnungen-008;Rechnungen;Prozentrechnung;medium;Von 500 Geräten sind 25 defekt. Wie hoch ist der prozentuale Anteil der defekten Geräte?;2 %;5 %;10 %;20 %;1;25 von 500 entsprechen 5 %.;
rechnungen-009;Rechnungen;Netto-Brutto;medium;Der Bruttopreis beträgt 119 €. Darin sind 19 % Mehrwertsteuer enthalten. Wie hoch ist der Nettopreis?;90 €;100 €;110 €;113 €;1;119 € entsprechen 119 %. Der Nettopreis von 100 % beträgt 100 €.;
rechnungen-010;Rechnungen;Textverständnis;medium;In einer Aufgabe steht: „Nach Abzug eines Rabatts von 20 % beträgt der Preis 160 €.“ Was bedeutet „nach Abzug“?;Der Rabatt wird zum Preis addiert.;Der Rabatt wird vom Preis abgezogen.;Der Preis wird verdoppelt.;Es wird nur der Rabattbetrag gesucht.;1;„Nach Abzug“ bedeutet, dass der Rabatt bereits vom ursprünglichen Preis subtrahiert wurde.;
